ğŸ’° Rent (â‚¬),ğŸ“ Size (mÂ²),ğŸ›ï¸ Rooms,ğŸ™ï¸ District,Link
478.7,45.0,2, 12. Meidling,[ğŸ”—](https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1120-meidling/gemeindewohnung-direktvergabe-1900649810/)
505.0,53.0,2, 19. DÃ¶bling,[ğŸ”—](https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1190-dÃ¶bling/gemeindewohung-direktvergabe-mit-ablÃ¶se-1374904983/)
530.0,50.0,2, 21. Floridsdorf,[ğŸ”—](https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/gemeindewohnung-direktvergabe-wohnticket:-31.8.2024!!-1285229637/)
789.9,39.0,2, 10. Favoriten,[ğŸ”—](https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/helle-2-zi.-whg.-mit-terrasse-1490322788/)
799.0,40.0,2, 21. Floridsdorf,[ğŸ”—](https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/moderne-2-zimmerwohnung-mit-balkon!-1693093114/)
640.0,58.0,2, 12. Meidling,[ğŸ”—](https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1120-meidling/gemeinde-wohnung-1120-wien-mit-vormekschein-bis-01.07.2024-842069402/)
770.0,49.0,2, 21. Floridsdorf,[ğŸ”—](https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/jetzt-mieten-spÃ¤ter-kaufen:-wohnen-in-stammersdorfer-naturidylle-761411382/)
720.0,44.0,2, 21. Floridsdorf,[ğŸ”—](https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/mietwohnung-genieÃŸen-kaufoption-nutzen:-wohnen-in-stammersdorfer-naturkulisse-761411356/)
730.0,37.0,2, 21. Floridsdorf,[ğŸ”—](https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/traumhaftes-wohnen:-mietwohnungen-mit-kaufoption-in-stammersdorfer-ruhelage-761411354/)
798.99,40.0,2, 21. Floridsdorf,[ğŸ”—](https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/moderne-neubauwohnung-mit-balkon-und-einbaukÃ¼che!-nahe-straÃŸenbahn-26-lorettowiese-und-scn-1740472691/)
798.99,40.0,2, 21. Floridsdorf,[ğŸ”—](https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/traumwohnungen-in-top-lage-zu-vermieten!-1055837955/)
749.0,38.0,2, 10. Favoriten,[ğŸ”—](https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/2-zimmer-wohnung-mit-balkon!-1929020483/)
685.08,52.0,2, 23. Liesing,[ğŸ”—](https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1230-liesing/zwei-zimmer-wohnung-hofseitig-inzersdorf-1230-wien-742385399/)
752.84,44.0,2, 12. Meidling,[ğŸ”—](https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1120-meidling/neuwertige-wohlfÃ¼hloase-mit-gartenanteil---43.5mÂ²-fÃ¼r-nur-75284-eur-miete-in-1120-wien!-1634330371/)
